device,power,date
device_1,0.0,2024-10-20T22:00:00.000Z
device_1,unavailable,2024-10-20T23:37:19.537Z
device_1,0.0,2024-10-20T23:39:10.965Z
device_1,unavailable,2024-10-21T01:37:19.798Z
device_1,0.0,2024-10-21T01:40:13.721Z
device_1,unavailable,2024-10-21T03:33:50.048Z
device_1,0.0,2024-10-21T03:36:10.895Z
device_1,unavailable,2024-10-21T05:31:50.274Z
device_1,0.0,2024-10-21T05:33:59.497Z
device_1,19.71,2024-10-21T05:45:01.583Z
device_1,24.39,2024-10-21T05:45:04.064Z
device_1,37.23,2024-10-21T05:45:05.596Z
device_1,18.12,2024-10-21T05:45:07.603Z
device_1,30.21,2024-10-21T05:45:13.577Z
device_1,22.81,2024-10-21T05:45:17.583Z
device_1,20.77,2024-10-21T05:46:55.579Z
device_1,18.35,2024-10-21T05:50:45.614Z
device_1,17.97,2024-10-21T05:53:11.587Z
device_1,15.86,2024-10-21T05:55:37.601Z
device_1,17.9,2024-10-21T05:55:39.608Z
device_1,15.71,2024-10-21T05:56:11.587Z
device_1,18.12,2024-10-21T06:00:53.601Z
device_1,24.17,2024-10-21T06:00:55.609Z
device_1,26.89,2024-10-21T06:01:11.585Z
device_1,24.17,2024-10-21T06:01:13.593Z
device_1,81.49,2024-10-21T06:01:21.599Z
device_1,162.75,2024-10-21T06:01:23.605Z
device_1,149.98,2024-10-21T06:01:25.622Z
device_1,165.31,2024-10-21T06:01:27.620Z
device_1,162.29,2024-10-21T06:01:29.586Z
device_1,149.83,2024-10-21T06:01:33.592Z
device_1,164.11,2024-10-21T06:01:35.600Z
device_1,157.91,2024-10-21T06:01:43.613Z
device_1,163.05,2024-10-21T06:01:45.623Z
device_1,146.51,2024-10-21T06:01:49.588Z
device_1,159.42,2024-10-21T06:01:51.595Z
device_1,160.86,2024-10-21T06:01:53.602Z
device_1,146.81,2024-10-21T06:01:57.612Z
device_1,144.4,2024-10-21T06:02:01.620Z
device_1,151.57,2024-10-21T06:02:03.626Z
device_1,146.36,2024-10-21T06:02:05.591Z
device_1,157.61,2024-10-21T06:02:07.599Z
device_1,129.67,2024-10-21T06:02:09.607Z
device_1,98.55,2024-10-21T06:02:13.621Z
device_1,107.54,2024-10-21T06:02:15.585Z
device_1,145.45,2024-10-21T06:02:17.595Z
device_1,132.16,2024-10-21T06:02:19.602Z
device_1,106.11,2024-10-21T06:02:21.608Z
device_1,134.28,2024-10-21T06:02:23.613Z
device_1,114.64,2024-10-21T06:02:25.622Z